Name,Temperature,Wind
Arad,15.833333333333334,39.166666666666664
Baia-Mare,16.666666666666668,39.0
Bistrita,0.0,0.0
Bucuresti,0.0,0.0
Cluj-Napoca,15.166666666666666,28.5
Constanta,18.0,40.333333333333336
Craiova,0.0,0.0
Dej,0.0,0.0
Oradea,0.0,0.0
Timisoara,15.666666666666666,34.5
